7
1
1 2 3 4 5 6 7 8
9 10 11 12 13 14 15 16
17 18 19 20 21 22 23 24
25 26 27 28 29 30 31 32
33 34 35 36 37 38 39 40
41 42 43 44 45 46 47 48
48 50 51 52 53 54 55 56
57 58 59 60 61 62 63 64
2
1 2 3 4 5 6 7 8
9 10 11 12 13 14 15 16
17 18 19 20 21 22 23 24
25 26 27 28 29 30 31 32
33 34 35 36 37 38 39 40
41 42 43 44 45 46 47 48
48 50 51 52 53 54 55 56
57 58 59 60 61 62 63 64
1 2 3 4 5 6 7 8
9 10 11 12 13 14 15 16
17 18 19 20 21 22 23 24
25 26 27 28 29 30 31 32
33 34 35 36 37 38 39 40
41 42 43 44 45 46 47 48
48 50 51 52 53 54 55 56
57 58 59 60 61 62 63 64
20
54 98 68 63 83 94 55 35 
12 63 30 17 97 62 96 26 
63 76 91 19 52 42 55 95 
8 97 6 18 96 3 46 21 
55 88 14 27 65 8 94 93 
52 39 40 52 12 94 89 39 
38 6 24 92 88 40 89 12 
40 8 86 41 66 15 61 91 
11 32 33 59 77 24 46 51 
97 17 6 58 16 40 84 28 
51 28 56 46 60 17 51 72 
74 16 67 75 38 93 56 81 
4 61 9 82 30 86 58 34 
31 19 30 93 13 72 36 96 
65 34 88 48 31 49 79 29 
25 54 25 81 18 94 32 72 
74 27 62 13 44 8 65 22 
96 89 52 14 12 34 88 96 
99 35 57 66 76 87 98 84 
62 79 63 10 21 52 72 86 
24 4 45 66 49 74 82 39 
96 95 48 69 32 43 64 25 
34 67 32 65 82 54 20 85 
21 70 27 11 72 66 44 97 
11 87 46 55 84 44 11 54 
93 27 28 9 3 86 75 29 
10 87 20 4 39 41 33 28 
92 25 88 32 4 11 99 24 
55 94 85 88 96 48 36 87 
9 92 32 79 61 26 17 99 
24 74 57 39 54 16 20 50 
28 66 61 18 58 34 75 29 
36 66 21 71 46 85 31 3 
22 27 40 23 57 93 64 74 
36 27 21 27 36 16 41 42 
37 37 88 10 89 53 92 27 
89 62 44 7 97 32 45 12 
76 81 63 78 46 92 82 42 
62 69 17 17 9 50 43 38 
91 3 49 44 59 56 56 77 
14 67 80 95 30 31 23 72 
68 36 47 81 94 97 20 33 
80 45 87 57 2 1 56 22 
18 51 57 57 37 8 56 85 
65 86 86 31 27 2 83 91 
57 86 72 66 78 58 7 28 
27 19 9 93 58 20 97 20 
6 90 60 77 6 40 66 6 
62 45 59 9 85 31 36 19 
63 53 54 63 83 94 60 53 
96 81 95 66 27 34 66 9 
5 51 41 36 52 59 44 35 
75 93 25 17 10 82 72 55 
63 78 44 96 3 96 80 81 
45 40 87 15 65 38 45 11 
21 87 15 59 77 42 33 23 
43 3 47 45 14 87 68 47 
93 26 22 92 42 29 52 33 
86 29 70 74 46 2 6 95 
21 73 33 65 88 37 61 62 
59 64 23 76 21 52 86 86 
51 80 9 72 14 25 45 75 
95 98 54 77 44 65 98 81 
32 5 82 76 6 67 38 91 
75 93 83 90 62 51 69 13 
92 50 56 50 39 93 13 22 
5 27 89 53 48 43 60 27 
38 2 81 7 55 25 61 2 
7 26 94 65 83 34 47 14 
32 64 51 43 52 13 92 34 
7 11 58 27 54 17 15 46 
85 3 84 70 73 74 12 26 
23 22 57 75 34 21 35 22 
44 74 15 60 93 34 9 21 
53 69 79 23 69 46 66 94 
77 71 79 76 6 54 51 43 
57 59 5 91 74 5 31 17 
63 54 3 13 14 79 65 33 
55 42 4 59 10 56 7 75 
78 90 89 31 9 70 30 82 
2 42 8 84 75 48 17 28 
83 96 6 3 72 43 56 75 
83 94 16 53 98 49 10 40 
11 67 72 39 48 6 82 20 
5 91 68 16 17 88 58 27 
55 20 47 33 40 93 56 94 
69 10 39 20 71 96 35 85 
58 29 19 97 95 11 26 77 
76 55 23 51 88 34 9 36 
